Features,Details,Product
Wartość odżywcza,100 ml,Olej Konopny Tloczony Na Zimno
Wartość energetyczna (energia),3411 kJ/830 kcal,Olej Konopny Tloczony Na Zimno
"Tłuszcz, w tym:",92 g,Olej Konopny Tloczony Na Zimno
– kwasy tłuszczowe nasycone,"9,3 g",Olej Konopny Tloczony Na Zimno
– kwasy tłuszczowe jednonienasycone,"12,4 g",Olej Konopny Tloczony Na Zimno
– kwasy tłuszczowe wielonienasycone,70 g,Olej Konopny Tloczony Na Zimno
"Węglowodany, w tym:",0 g,Olej Konopny Tloczony Na Zimno
– cukry,0 g,Olej Konopny Tloczony Na Zimno
Białko,0 g,Olej Konopny Tloczony Na Zimno
Sól,0 g,Olej Konopny Tloczony Na Zimno
Omega-3 (kwas alfa-linolenowy),16 g,Olej Konopny Tloczony Na Zimno
Omega-6 (kwas linolowy),51 g,Olej Konopny Tloczony Na Zimno
Omega-9 (kwas oleinowy),11 g,Olej Konopny Tloczony Na Zimno
Wartość  odżywcza,100  ml,Olej Krokoszowy Tloczony Na Zimno
Wartość  energetyczna (energia),3400  kJ/827 kcal,Olej Krokoszowy Tloczony Na Zimno
"Tłuszcz,  w tym:",92  g,Olej Krokoszowy Tloczony Na Zimno
– kwasy tłuszczowe nasycone,"9,1g",Olej Krokoszowy Tloczony Na Zimno
– kwasy tłuszczowe jednonienasycone,"13,6  g",Olej Krokoszowy Tloczony Na Zimno
– kwasy tłuszczowe wielonienasycone,69  g,Olej Krokoszowy Tloczony Na Zimno
"Węglowodany,  w tym:",0  g,Olej Krokoszowy Tloczony Na Zimno
– cukry,0  g,Olej Krokoszowy Tloczony Na Zimno
Białko,0  g,Olej Krokoszowy Tloczony Na Zimno
Sól,0  g,Olej Krokoszowy Tloczony Na Zimno
Omega-6 (kwas linolowy),69 g,Olej Krokoszowy Tloczony Na Zimno
Omega-9 (kwas oleinowy),13 g,Olej Krokoszowy Tloczony Na Zimno
Wartość odżywcza,100 ml,Olej Kukurydziany Tloczony Na Zimno
Wartość energetyczna (energia),3393 kJ/825 kcal,Olej Kukurydziany Tloczony Na Zimno
"Tłuszcz, w tym:",92 g,Olej Kukurydziany Tloczony Na Zimno
– kwasy tłuszczowe nasycone,12 g,Olej Kukurydziany Tloczony Na Zimno
– kwasy tłuszczowe  jednonienasycone,31 g,Olej Kukurydziany Tloczony Na Zimno
– kwasy tłuszczowe  wielonienasycone,49 g,Olej Kukurydziany Tloczony Na Zimno
"Węglowodany, w tym:",0 g,Olej Kukurydziany Tloczony Na Zimno
– cukry,0 g,Olej Kukurydziany Tloczony Na Zimno
Białko,0 g,Olej Kukurydziany Tloczony Na Zimno
Sól,0 g,Olej Kukurydziany Tloczony Na Zimno
Omega-6 (kwas linolowy),48 g,Olej Kukurydziany Tloczony Na Zimno
Omega-9 (kwas oleinowy),30 g,Olej Kukurydziany Tloczony Na Zimno
Wartość odżywcza,100 ml,Olej Lniany Tloczony Na Zimno
Wartość energetyczna (energia),3400 kJ/827 kcal,Olej Lniany Tloczony Na Zimno
"Tłuszcz, w tym:",92 g,Olej Lniany Tloczony Na Zimno
– kwasy tłuszczowe nasycone,"9,9 g",Olej Lniany Tloczony Na Zimno
– kwasy tłuszczowe  jednonienasycone,16 g,Olej Lniany Tloczony Na Zimno
– kwasy tłuszczowe  wielonienasycone,66 g,Olej Lniany Tloczony Na Zimno
"Węglowodany, w tym:",0 g,Olej Lniany Tloczony Na Zimno
– cukry,0 g,Olej Lniany Tloczony Na Zimno
Białko,0 g,Olej Lniany Tloczony Na Zimno
Sól,0 g,Olej Lniany Tloczony Na Zimno
Omega-3 (kwas alfa-linolenowy),"2,6 g",Olej Lniany Tloczony Na Zimno
Omega-6 (kwas linolowy),63 g,Olej Lniany Tloczony Na Zimno
Wartość odżywcza,100 ml,Olej Slonecznikowy Tloczony Na Zimno
Wartość energetyczna (energia),3374 kJ/821 kcal,Olej Slonecznikowy Tloczony Na Zimno
