Features,Details,Product
Wartość energetyczna (energia) w kcal,830.0,Olej Konopny Tloczony Na Zimno
Tłuszcz,92.0,Olej Konopny Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,9.3,Olej Konopny Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,12.4,Olej Konopny Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,70.0,Olej Konopny Tloczony Na Zimno
Węglowodany,0.0,Olej Konopny Tloczony Na Zimno
Cukry,0.0,Olej Konopny Tloczony Na Zimno
Białko,0.0,Olej Konopny Tloczony Na Zimno
Sól,0.0,Olej Konopny Tloczony Na Zimno
Omega-3 (kwas alfa-linolenowy),16.0,Olej Konopny Tloczony Na Zimno
Omega-6 (kwas linolowy),51.0,Olej Konopny Tloczony Na Zimno
Omega-9 (kwas oleinowy),11.0,Olej Konopny Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,827.0,Olej Krokoszowy Tloczony Na Zimno
Tłuszcz,92.0,Olej Krokoszowy Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,9.1,Olej Krokoszowy Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,13.6,Olej Krokoszowy Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,69.0,Olej Krokoszowy Tloczony Na Zimno
Węglowodany,0.0,Olej Krokoszowy Tloczony Na Zimno
Cukry,0.0,Olej Krokoszowy Tloczony Na Zimno
Białko,0.0,Olej Krokoszowy Tloczony Na Zimno
Sól,0.0,Olej Krokoszowy Tloczony Na Zimno
Omega-6 (kwas linolowy),69.0,Olej Krokoszowy Tloczony Na Zimno
Omega-9 (kwas oleinowy),13.0,Olej Krokoszowy Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,825.0,Olej Kukurydziany Tloczony Na Zimno
Tłuszcz,92.0,Olej Kukurydziany Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,12.0,Olej Kukurydziany Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,31.0,Olej Kukurydziany Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,49.0,Olej Kukurydziany Tloczony Na Zimno
Węglowodany,0.0,Olej Kukurydziany Tloczony Na Zimno
Cukry,0.0,Olej Kukurydziany Tloczony Na Zimno
Białko,0.0,Olej Kukurydziany Tloczony Na Zimno
Sól,0.0,Olej Kukurydziany Tloczony Na Zimno
Omega-6 (kwas linolowy),48.0,Olej Kukurydziany Tloczony Na Zimno
Omega-9 (kwas oleinowy),30.0,Olej Kukurydziany Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,827.0,Olej Lniany Tloczony Na Zimno
Tłuszcz,92.0,Olej Lniany Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,9.9,Olej Lniany Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,16.0,Olej Lniany Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,66.0,Olej Lniany Tloczony Na Zimno
Węglowodany,0.0,Olej Lniany Tloczony Na Zimno
Cukry,0.0,Olej Lniany Tloczony Na Zimno
Białko,0.0,Olej Lniany Tloczony Na Zimno
Sól,0.0,Olej Lniany Tloczony Na Zimno
Omega-3 (kwas alfa-linolenowy),2.6,Olej Lniany Tloczony Na Zimno
Omega-6 (kwas linolowy),63.0,Olej Lniany Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,821.0,Olej Slonecznikowy Tloczony Na Zimno
Tłuszcz,91.0,Olej Slonecznikowy Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,6.9,Olej Slonecznikowy Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,81.0,Olej Slonecznikowy Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,3.1,Olej Slonecznikowy Tloczony Na Zimno
Węglowodany,0.0,Olej Slonecznikowy Tloczony Na Zimno
Cukry,0.0,Olej Slonecznikowy Tloczony Na Zimno
Białko,0.0,Olej Slonecznikowy Tloczony Na Zimno
Sól,0.0,Olej Slonecznikowy Tloczony Na Zimno
Omega-6 (kwas linolowy),3.1,Olej Slonecznikowy Tloczony Na Zimno
Omega-9 (kwas oleinowy),80.0,Olej Slonecznikowy Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,825.0,Olej Sezamowy Nierafinowany
Tłuszcz,92.0,Olej Sezamowy Nierafinowany
Kwasy Tłuszczowe Nasycone,15.0,Olej Sezamowy Nierafinowany
Kwasy Tłuszczowe Jednonienasycone,38.0,Olej Sezamowy Nierafinowany
Kwasy Tłuszczowe Wielonienasycone,39.0,Olej Sezamowy Nierafinowany
Węglowodany,0.0,Olej Sezamowy Nierafinowany
Cukry,0.0,Olej Sezamowy Nierafinowany
Białko,0.0,Olej Sezamowy Nierafinowany
Sól,0.0,Olej Sezamowy Nierafinowany
Omega-6 (kwas linolowy),38.0,Olej Sezamowy Nierafinowany
Omega-9 (kwas oleinowy),37.0,Olej Sezamowy Nierafinowany
Wartość energetyczna (energia) w kcal,821.0,Olej Z Awokado Tloczony Na Zimno
Tłuszcz,91.0,Olej Z Awokado Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,18.0,Olej Z Awokado Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,63.0,Olej Z Awokado Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,10.0,Olej Z Awokado Tloczony Na Zimno
Węglowodany,0.0,Olej Z Awokado Tloczony Na Zimno
Cukry,0.0,Olej Z Awokado Tloczony Na Zimno
Białko,0.0,Olej Z Awokado Tloczony Na Zimno
Sól,0.0,Olej Z Awokado Tloczony Na Zimno
Omega-6 (kwas linolowy),9.6,Olej Z Awokado Tloczony Na Zimno
Omega-9 (kwas oleinowy),51.0,Olej Z Awokado Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,821.0,Olej Z Orzechow Laskowych Nierafinowany
Tłuszcz,91.7,Olej Z Orzechow Laskowych Nierafinowany
Kwasy Tłuszczowe Nasycone,8.7,Olej Z Orzechow Laskowych Nierafinowany
Kwasy Tłuszczowe Jednonienasycone,72.0,Olej Z Orzechow Laskowych Nierafinowany
Kwasy Tłuszczowe Wielonienasycone,11.0,Olej Z Orzechow Laskowych Nierafinowany
Węglowodany,0.0,Olej Z Orzechow Laskowych Nierafinowany
Cukry,0.0,Olej Z Orzechow Laskowych Nierafinowany
Białko,0.0,Olej Z Orzechow Laskowych Nierafinowany
Sól,0.0,Olej Z Orzechow Laskowych Nierafinowany
Omega-6 (kwas linolowy),10.0,Olej Z Orzechow Laskowych Nierafinowany
Omega-9 (kwas oleinowy),70.0,Olej Z Orzechow Laskowych Nierafinowany
Wartość energetyczna (energia) w kcal,824.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Tłuszcz,91.2,Olej Z Orzechow Wloskich Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,9.2,Olej Z Orzechow Wloskich Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,17.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,65.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Węglowodany,0.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Cukry,0.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Białko,0.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Sól,0.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Omega-3 (kwas alfa-linolenowy),10.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Omega-6 (kwas linolowy),55.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Omega-9 (kwas oleinowy),17.0,Olej Z Orzechow Wloskich Tloczony Na Zimno
Wartość energetyczna (energia) w kcal,825.0,Olej Z Pestek Dyni Tloczony Na Zimno
Tłuszcz,92.0,Olej Z Pestek Dyni Tloczony Na Zimno
Kwasy Tłuszczowe Nasycone,17.0,Olej Z Pestek Dyni Tloczony Na Zimno
Kwasy Tłuszczowe Jednonienasycone,31.0,Olej Z Pestek Dyni Tloczony Na Zimno
Kwasy Tłuszczowe Wielonienasycone,43.0,Olej Z Pestek Dyni Tloczony Na Zimno
Węglowodany,0.0,Olej Z Pestek Dyni Tloczony Na Zimno
Cukry,0.0,Olej Z Pestek Dyni Tloczony Na Zimno
Białko,0.0,Olej Z Pestek Dyni Tloczony Na Zimno
Sól,0.0,Olej Z Pestek Dyni Tloczony Na Zimno
Omega-6 (kwas linolowy),43.0,Olej Z Pestek Dyni Tloczony Na Zimno
Omega-9 (kwas oleinowy),30.0,Olej Z Pestek Dyni Tloczony Na Zimno
