,Features,Details,Product
0,Wartość odżywcza,100 ml,Olej Z Ostropestu Tloczony Na Zimno
2,Wartość energetyczna (energia),3378 kJ/822 kcal,Olej Z Ostropestu Tloczony Na Zimno
4,"Tłuszcz, w tym:",92 g,Olej Z Ostropestu Tloczony Na Zimno
6,Kwasy tłuszczowe nasycone,18 g,Olej Z Ostropestu Tloczony Na Zimno
8,Kwasy tłuszczowe jednonienasycone,25 g,Olej Z Ostropestu Tloczony Na Zimno
10,Kwasy tłuszczowe wielonienasycone,49 g,Olej Z Ostropestu Tloczony Na Zimno
12,"Węglowodany, w tym:",0 g,Olej Z Ostropestu Tloczony Na Zimno
14,cukry,0 g,Olej Z Ostropestu Tloczony Na Zimno
16,Białko,0 g,Olej Z Ostropestu Tloczony Na Zimno
18,Sól,0 g,Olej Z Ostropestu Tloczony Na Zimno
20,Omega-6 (kwas linolowy),49 g,Olej Z Ostropestu Tloczony Na Zimno
21,Omega-9 (kwas oleinowy),24 g,Olej Z Ostropestu Tloczony Na Zimno
