,Features,Details,Product
0,Wartość odżywcza,100 ml,Olej Konopny Tloczony Na Zimno
1,Wartość energetyczna (energia),3411 kJ/830 kcal,Olej Konopny Tloczony Na Zimno
2,"Tłuszcz, w tym:",92 g,Olej Konopny Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,"9,3 g",Olej Konopny Tloczony Na Zimno
4,– kwasy tłuszczowe jednonienasycone,"12,4 g",Olej Konopny Tloczony Na Zimno
5,– kwasy tłuszczowe wielonienasycone,70 g,Olej Konopny Tloczony Na Zimno
6,"Węglowodany, w tym:",0 g,Olej Konopny Tloczony Na Zimno
7,– cukry,0 g,Olej Konopny Tloczony Na Zimno
8,Białko,0 g,Olej Konopny Tloczony Na Zimno
9,Sól,0 g,Olej Konopny Tloczony Na Zimno
10,Omega-3 (kwas alfa-linolenowy),16 g,Olej Konopny Tloczony Na Zimno
11,Omega-6 (kwas linolowy),51 g,Olej Konopny Tloczony Na Zimno
12,Omega-9 (kwas oleinowy),11 g,Olej Konopny Tloczony Na Zimno
0,Wartość  odżywcza,100  ml,Olej Krokoszowy Tloczony Na Zimno
1,Wartość  energetyczna (energia),3400  kJ/827 kcal,Olej Krokoszowy Tloczony Na Zimno
2,"Tłuszcz,  w tym:",92  g,Olej Krokoszowy Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,"9,1g",Olej Krokoszowy Tloczony Na Zimno
4,– kwasy tłuszczowe jednonienasycone,"13,6  g",Olej Krokoszowy Tloczony Na Zimno
5,– kwasy tłuszczowe wielonienasycone,69  g,Olej Krokoszowy Tloczony Na Zimno
6,"Węglowodany,  w tym:",0  g,Olej Krokoszowy Tloczony Na Zimno
7,– cukry,0  g,Olej Krokoszowy Tloczony Na Zimno
8,Białko,0  g,Olej Krokoszowy Tloczony Na Zimno
9,Sól,0  g,Olej Krokoszowy Tloczony Na Zimno
10,Omega-6 (kwas linolowy),69 g,Olej Krokoszowy Tloczony Na Zimno
11,Omega-9 (kwas oleinowy),13 g,Olej Krokoszowy Tloczony Na Zimno
0,Wartość odżywcza,100 ml,Olej Kukurydziany Tloczony Na Zimno
1,Wartość energetyczna (energia),3393 kJ/825 kcal,Olej Kukurydziany Tloczony Na Zimno
2,"Tłuszcz, w tym:",92 g,Olej Kukurydziany Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,12 g,Olej Kukurydziany Tloczony Na Zimno
4,– kwasy tłuszczowe  jednonienasycone,31 g,Olej Kukurydziany Tloczony Na Zimno
5,– kwasy tłuszczowe  wielonienasycone,49 g,Olej Kukurydziany Tloczony Na Zimno
6,"Węglowodany, w tym:",0 g,Olej Kukurydziany Tloczony Na Zimno
7,– cukry,0 g,Olej Kukurydziany Tloczony Na Zimno
8,Białko,0 g,Olej Kukurydziany Tloczony Na Zimno
9,Sól,0 g,Olej Kukurydziany Tloczony Na Zimno
10,Omega-6 (kwas linolowy),48 g,Olej Kukurydziany Tloczony Na Zimno
11,Omega-9 (kwas oleinowy),30 g,Olej Kukurydziany Tloczony Na Zimno
0,Wartość odżywcza,100 ml,Olej Lniany Tloczony Na Zimno
1,Wartość energetyczna (energia),3400 kJ/827 kcal,Olej Lniany Tloczony Na Zimno
2,"Tłuszcz, w tym:",92 g,Olej Lniany Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,"9,9 g",Olej Lniany Tloczony Na Zimno
4,– kwasy tłuszczowe  jednonienasycone,16 g,Olej Lniany Tloczony Na Zimno
5,– kwasy tłuszczowe  wielonienasycone,66 g,Olej Lniany Tloczony Na Zimno
6,"Węglowodany, w tym:",0 g,Olej Lniany Tloczony Na Zimno
7,– cukry,0 g,Olej Lniany Tloczony Na Zimno
8,Białko,0 g,Olej Lniany Tloczony Na Zimno
9,Sól,0 g,Olej Lniany Tloczony Na Zimno
10,Omega-3 (kwas alfa-linolenowy),"2,6 g",Olej Lniany Tloczony Na Zimno
11,Omega-6 (kwas linolowy),63 g,Olej Lniany Tloczony Na Zimno
0,Wartość odżywcza,100 ml,Olej Slonecznikowy Tloczony Na Zimno
1,Wartość energetyczna (energia),3374 kJ/821 kcal,Olej Slonecznikowy Tloczony Na Zimno
2,"Tłuszcz, w tym:",91 g,Olej Slonecznikowy Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,"6,9 g",Olej Slonecznikowy Tloczony Na Zimno
4,– kwasy tłuszczowe  jednonienasycone,81 g,Olej Slonecznikowy Tloczony Na Zimno
5,– kwasy tłuszczowe  wielonienasycone,"3,1 g",Olej Slonecznikowy Tloczony Na Zimno
6,"Węglowodany, w tym:",0 g,Olej Slonecznikowy Tloczony Na Zimno
7,– cukry,0 g,Olej Slonecznikowy Tloczony Na Zimno
8,Białko,0 g,Olej Slonecznikowy Tloczony Na Zimno
9,Sól,0 g,Olej Slonecznikowy Tloczony Na Zimno
10,Omega-6 (kwas linolowy),"3,1 g",Olej Slonecznikowy Tloczony Na Zimno
11,Omega-9 (kwas oleinowy),80 g,Olej Slonecznikowy Tloczony Na Zimno
0,Wartość odżywcza,100 ml,Olej Sezamowy Nierafinowany
1,Wartość energetyczna (energia),3393 kJ/825 kcal,Olej Sezamowy Nierafinowany
2,"Tłuszcz, w tym:",92 g,Olej Sezamowy Nierafinowany
3,– kwasy tłuszczowe nasycone,15 g,Olej Sezamowy Nierafinowany
4,– kwasy tłuszczowe  jednonienasycone,38 g,Olej Sezamowy Nierafinowany
5,– kwasy tłuszczowe  wielonienasycone,39 g,Olej Sezamowy Nierafinowany
6,"Węglowodany, w tym:",0 g,Olej Sezamowy Nierafinowany
7,– cukry,0 g,Olej Sezamowy Nierafinowany
8,Białko,0 g,Olej Sezamowy Nierafinowany
9,Sól,0 g,Olej Sezamowy Nierafinowany
10,Omega-6 (kwas linolowy),38 g,Olej Sezamowy Nierafinowany
11,Omega-9 (kwas oleinowy,37 g,Olej Sezamowy Nierafinowany
0,Wartość  odżywcza,100  ml,Olej Z Awokado Tloczony Na Zimno
1,Wartość  energetyczna (energia),3374  kJ/821 kcal,Olej Z Awokado Tloczony Na Zimno
2,"Tłuszcz,  w tym:",91  g,Olej Z Awokado Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,18  g,Olej Z Awokado Tloczony Na Zimno
4,– kwasy tłuszczowe jednonienasycone,63  g,Olej Z Awokado Tloczony Na Zimno
5,– kwasy tłuszczowe wielonienasycone,10  g,Olej Z Awokado Tloczony Na Zimno
6,"Węglowodany,  w tym:",0  g,Olej Z Awokado Tloczony Na Zimno
7,– cukry,0  g,Olej Z Awokado Tloczony Na Zimno
8,Białko,0  g,Olej Z Awokado Tloczony Na Zimno
9,Sól,0  g,Olej Z Awokado Tloczony Na Zimno
10,Omega-6 (kwas linolowy),"9,6 g",Olej Z Awokado Tloczony Na Zimno
11,Omega-9 (kwas oleinowy),51 g,Olej Z Awokado Tloczony Na Zimno
0,Wartość odżywcza,100 ml,Olej Z Orzechow Laskowych Nierafinowany
1,Wartość energetyczna (energia),3374 kJ/821 kcal,Olej Z Orzechow Laskowych Nierafinowany
2,"Tłuszcz, w tym:","91,7 g",Olej Z Orzechow Laskowych Nierafinowany
3,– kwasy tłuszczowe nasycone,"8,7 g",Olej Z Orzechow Laskowych Nierafinowany
4,– kwasy tłuszczowe  jednonienasycone,72 g,Olej Z Orzechow Laskowych Nierafinowany
5,– kwasy tłuszczowe  wielonienasycone,11 g,Olej Z Orzechow Laskowych Nierafinowany
6,"Węglowodany, w tym:",0 g,Olej Z Orzechow Laskowych Nierafinowany
7,– cukry,0 g,Olej Z Orzechow Laskowych Nierafinowany
8,Białko,0 g,Olej Z Orzechow Laskowych Nierafinowany
9,Sól,0 g,Olej Z Orzechow Laskowych Nierafinowany
10,Omega-6 (kwas linolowy),10 g,Olej Z Orzechow Laskowych Nierafinowany
11,Omega-9 (kwas oleinowy),70 g,Olej Z Orzechow Laskowych Nierafinowany
0,Wartość  odżywcza,100  ml,Olej Z Orzechow Wloskich Tloczony Na Zimno
1,Wartość  energetyczna (energia),3386  kJ/824 kcal,Olej Z Orzechow Wloskich Tloczony Na Zimno
2,"Tłuszcz,  w tym:","91,2  g",Olej Z Orzechow Wloskich Tloczony Na Zimno
3,– kwasy tłuszczowe nasycone,"9,2  g",Olej Z Orzechow Wloskich Tloczony Na Zimno
4,– kwasy tłuszczowe jednonienasycone,17  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
5,– kwasy tłuszczowe wielonienasycone,65  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
6,"Węglowodany,  w tym:",0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
7,– cukry,0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
8,Białko,0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
9,Sól,0  g,Olej Z Orzechow Wloskich Tloczony Na Zimno
10,Omega-3 (kwas alfa-linolenowy),10 g,Olej Z Orzechow Wloskich Tloczony Na Zimno
11,Omega-6 (kwas linolowy),55 g,Olej Z Orzechow Wloskich Tloczony Na Zimno
12,Omega-9 (kwas oleinowy),17 g,Olej Z Orzechow Wloskich Tloczony Na Zimno
0,Wartość odżywcza,100 ml,Olej Z Pestek Dyni Tloczony Na Zimno
1,Wartość energetyczna (energia),3393 kJ/825 kcal,Olej Z Pestek Dyni Tloczony Na Zimno
